date,open,high,low,close,volume
2026-04-22,130.0,130.4499,128.84,129.98,17624490.16372
2026-04-23,130.57,132.46,130.49,132.03,16375999.526439
2026-04-24,131.94,132.12,129.2812,129.92,16016319.296032
2026-04-27,129.615,129.81,127.395,127.59,17029468.199462
2026-04-28,129.34,129.77,126.78,127.59,16341768.425171
2026-04-29,126.68,128.08,125.91,128.01,16538798.704284
2026-04-30,128.02,132.43,127.95,131.93,19867700.387752
2026-05-01,131.915,133.37,130.98,131.6,10480869.792821
2026-05-04,130.41,131.75,129.68,130.33,10340667.284884
2026-05-05,130.51,131.73,130.3,130.79,10637307.061851
2026-05-06,130.86,131.15,129.53,130.08,16371545.092947
2026-05-07,129.895,130.6,128.665,130.2,14935414.820057
2026-05-08,130.315,131.41,130.25,130.43,15183657.619038
2026-05-11,130.18,130.6,126.38,127.59,18699179.827416
2026-05-12,128.075,131.12,127.72,130.35,17935358.464872
2026-05-13,129.19,132.53,128.77,131.47,13786552.946116
2026-05-14,131.355,132.78,130.86,132.46,14200408.532364
2026-05-15,133.69,133.95,130.785,131.45,25322971.25222
2026-05-18,131.52,133.47,131.125,133.34,17183216.20551
2026-05-19,132.94,135.155,132.06,134.2,16957144.591992
2026-05-20,132.905,133.65,130.33,130.85,28471632.935832
2026-05-21,124.408,125.8,120.39,121.34,53006570.741163
2026-05-22,121.34,121.95,118.91,120.27,30330576.531795
2026-05-26,120.685,121.05,117.92,118.57,28796647.256283
2026-05-27,118.33,119.4299,118.04,118.54,22062232.854146
2026-05-28,118.96,119.17,117.33,118.9,21613085.231639
2026-05-29,118.11,119.08,114.71,115.75,42190998.822822
2026-06-01,114.725,115.98,113.56,114.6,26176225.114301
2026-06-02,113.87,114.5694,112.73,113.06,27366401.79939
2026-06-03,113.1,117.29,112.96,116.89,32880555.03171
2026-06-04,119.895,119.938,117.285,117.74,22870427.458445
2026-06-05,118.35,120.89,118.1,118.88,36638136.847355
2026-06-08,118.245,120.18,118.15,119.83,19514137.744124
2026-06-09,120.38,120.5,118.0,118.88,23958996.389138
2026-06-10,119.71,120.8192,117.53,120.59,22414871.999827
2026-06-11,120.57,121.86,119.46,120.5,22438028.100925
2026-06-12,120.59,121.61,119.53,121.04,14770841.393796
2026-06-15,119.74,121.49,118.58,120.82,20722462.99033
2026-06-16,121.14,122.94,119.88,121.03,23060729.241775
2026-06-17,119.58,121.01,117.45,118.13,21711069.647475
2026-06-18,118.2,118.48,116.795,117.18,36526766.503423
2026-06-22,116.955,118.4,116.945,117.18,17053911.634849
2026-06-23,119.71,120.25,116.34,119.42,23411423.601075
2026-06-24,119.56,120.4,118.93,119.0,20600078.600747
2026-06-25,117.47,118.58,115.38,115.78,20404638.795959
2026-06-26,117.29,117.88,115.09,115.69,36635971.428286
2026-06-29,116.47,116.8,114.2,114.6,20366986.524038
2026-06-30,113.97,114.61,112.93,113.26,23033999.563866
2026-07-01,110.13,110.71,107.25,108.82,40391394.116318
2026-07-02,109.33,112.45,109.16,111.84,29526234.989829
2026-07-06,111.4,112.37,109.37,110.65,29523272.86858
2026-07-07,112.968,113.5,111.3,111.54,19941406.360188
2026-07-08,113.15,113.86,111.81,113.1,19892044.96647
2026-07-09,111.24,112.76,111.04,112.21,20464490.856119
2026-07-10,111.95,114.16,111.9301,113.9,12461695.117728
2026-07-13,114.725,115.54,114.01,114.78,17043419.811584
2026-07-14,115.08,115.88,113.5,113.7,14681967.682656
2026-07-15,113.25,114.73,112.07,112.53,16467942.225704
2026-07-16,113.76,115.585,113.555,114.95,20777618.71913
2026-07-17,116.96,118.09,113.6,114.24,28289808.995347
2026-07-20,113.96,114.4,112.14,112.2,17738930.787005
2026-07-21,111.51,111.8,109.89,110.39,22717028.600556
2026-07-22,109.53,110.0,108.72,109.33,23494769.296235
2026-07-23,107.505,108.555,106.79,108.4,21516804.274315
2026-07-24,108.12,109.6,108.01,109.47,18405918.332187
2026-07-27,109.92,112.51,109.89,111.74,19008748.418205
2026-07-28,113.96,116.03,112.835,113.1,24867895.083255
2026-07-29,113.23,114.69,112.45,114.22,23480003.814137
2026-07-30,111.61,113.0259,110.435,111.1,28746996.93097
2026-07-31,110.52,111.91,109.89,111.2,22799139.588992
2026-08-03,113.1,113.29,110.155,110.71,23942452.248026
2026-08-04,109.005,111.68,108.56,111.55,29620002.015955
2026-08-05,112.45,113.155,111.36,112.34,21446299.414548
2026-08-06,114.065,114.56,111.035,112.07,23203146.174185
2026-08-07,110.61,112.29,110.5,111.85,18819348.52442
2026-08-10,111.075,112.7,110.76,112.66,19143979.511626
2026-08-11,112.44,113.34,112.19,113.26,17005849.428505
2026-08-12,112.365,116.045,112.28,116.01,22054703.382116
2026-08-13,116.17,116.32,114.805,115.72,16822246.020577
2026-08-14,115.655,116.45,114.635,115.27,14519994.173915
2026-08-17,114.33,115.18,113.915,114.33,18131050.134626
2026-08-18,116.3,116.31,114.48,115.2,20674966.769521
2026-08-19,115.19,116.87,113.99,114.3,34286596.61556
